"","area","rooms","suites","bathrooms","parkings","price","neighborhood"
"1",230,"3","3","5","3",3790000,"JA"
"2",85,"2","1","2","1",1390000,"JA"
"3",136,"3","1","3","1",1590000,"JA"
"4",136,"3","1","4","1",1500000,"JA"
"5",310,"3","1","4","2",4150000,"JA"
"6",122,"3","1","3","1",1700000,"JA"
"7",252,"4","1","4","2",1350000,"JA"
"8",136,"3","1","1","2",1800000,"JA"
"9",130,"3","1","4","2",1400000,"JA"
"10",130,"3","1","4","2",1350000,"JA"
"11",186,"3","--","2","1",1900000,"JA"
"12",90,"2","1","1","--",1200000,"JA"
"13",82,"2","1","3","1",1190000,"JA"
"14",220,"3","1","3","1",1950000,"JA"
"15",125,"3","1","4","1",1500000,"JA"
"16",136,"3","1","3","1",1500000,"JA"
"17",117,"2","2","4","1",1900000,"JA"
"18",160,"3","--","3","2",2e+06,"JA"
"19",96,"3","--","3","1",850000,"JA"
"20",71,"2","1","2","3",1220461,"JA"
"21",70,"2","2","3","1",1200000,"JA"
"22",70,"2","2","3","2",8e+05,"JA"
"23",200,"3","1","4","2",2700000,"JA"
"24",420,"3","1","5","4",1.2e+07,"JA"
"25",110,"3","2","2","1",1350000,"JA"
"26",100,"3","1","3","1",980000,"JA"
"27",222,"4","2","1","2",2800000,"JA"
"28",258,"4","1","4","2",1600000,"JA"
"29",142,"3","1","3","2",1700000,"JA"
"30",125,"3","1","4","1",1570000,"JA"
"31",173,"3","--","3","1",1950000,"JA"
"32",228,"3","1","1","1",2190000,"JA"
"33",162,"2","2","3","2",1600000,"JA"
"34",124,"3","1","3","2",1380000,"JA"
"35",129,"3","--","3","1",1200000,"JA"
"36",195,"2","2","2","2",5161001,"JA"
"37",29,"1","1","1","1",4e+05,"JA"
"38",365,"4","2","6","2",6650000,"JA"
"39",183,"3","1","4","3",2500000,"JA"
"40",80,"1","1","2","1",990000,"JA"
"41",70,"2","1","2","1",1027000,"JA"
"42",173,"3","1","3","2",1750000,"JA"
"43",140,"3","1","3","1",1386000,"JA"
"44",274,"3","1","5","2",4400000,"JA"
"45",240,"4","3","4","4",2400000,"JA"
"46",151,"3","1","3","3",2600000,"JA"
"47",230,"4","4","6","4",4700000,"JA"
"48",135,"2","1","3","2",1700000,"JA"
"49",76,"2","--","2","1",7e+05,"JA"
"50",123,"2","2","4","1",1750000,"JA"
"51",188,"3","1","3","2",2600000,"JA"
"52",231,"4","1","5","2",3700000,"JA"
"53",207,"3","1","4","2",2200000,"JA"
"54",152,"3","1","4","1",1600000,"JA"
"55",291,"3","3","5","3",4400000,"JA"
"56",310,"4","4","6","4",4500000,"JA"
"57",190,"3","1","1","2",1850000,"JA"
"58",753,"5","5","7","8",29800000,"JA"
"59",202,"3","1","1","1",1800000,"JA"
"60",230,"3","3","5","2",2700000,"JA"
"61",230,"3","3","4","3",3790000,"JA"
"62",96,"2","1","2","1",1350000,"JA"
"63",116,"3","1","4","1",1e+06,"JA"
"64",149,"3","1","3","1",1590000,"JA"
"65",200,"3","--","3","--",8e+05,"JA"
"66",120,"3","1","2","1",1190000,"JA"
"67",118,"3","--","--","1",1400000,"JA"
"68",120,"3","1","4","1",1400000,"JA"
"69",220,"3","1","4","2",2400000,"JA"
"70",220,"3","1","1","1",2300000,"JA"
"71",152,"2","1","4","1",2200000,"JA"
"72",250,"2","1","4","2",3200000,"JA"
"73",144,"3","1","3","1",1915000,"JA"
"74",188,"4","4","1","4",3390000,"JA"
"75",170,"3","1","3","1",1670000,"JA"
"76",238,"3","1","3","1",3980000,"JA"
"77",360,"3","3","5","5",8500000,"JA"
"78",204,"3","1","1","1",2300000,"JA"
"79",203,"3","3","5","2",3140000,"JA"
"80",360,"4","2","5","3",4800000,"JA"
"81",218,"3","3","5","2",2980000,"JA"
"82",220,"3","1","3","1",1950000,"JA"
"83",146,"3","1","3","1",1280000,"JA"
"84",210,"4","3","4","4",3900000,"JA"
"85",120,"2","1","3","2",1200000,"JA"
"86",85,"1","1","2","1",1100000,"JA"
"87",207,"3","1","4","1",1990000,"JA"
"88",335,"4","2","5","3",5300000,"JA"
"89",230,"3","1","3","2",2800000,"JA"
"90",159,"3","1","3","1",1550000,"JA"
"91",315,"4","4","6","5",7900000,"JA"
"92",184,"3","3","4","3",2900000,"JA"
"93",300,"3","1","3","2",4500000,"JA"
"94",95,"2","1","2","1",1100000,"JA"
"95",300,"3","1","3","2",3700000,"JA"
"96",224,"3","3","5","2",1950000,"JA"
"97",170,"2","1","4","2",2200000,"JA"
"98",220,"3","1","4","2",3500000,"JA"
"99",163,"2","1","2","1",1600000,"JA"
"100",207,"4","2","6","4",2750000,"JA"
"101",219,"3","2","4","2",2300000,"JA"
"102",70,"2","1","1","1",1014897,"JA"
"103",110,"2","1","3","1",1400000,"JA"
"104",351,"3","1","4","2",4e+06,"JA"
"105",315,"4","4","5","5",6500000,"JA"
"106",141,"3","1","3","1",1280000,"JA"
"107",230,"3","3","5","3",3777000,"JA"
"108",89,"2","--","2","1",745000,"JA"
"109",220,"3","3","5","3",2950000,"JA"
"110",75,"2","--","1","1",8e+05,"JA"
"111",70,"2","--","1","1",630000,"JA"
"112",230,"3","1","4","2",2498000,"JA"
"113",220,"3","3","4","2",2650000,"JA"
"114",189,"3","1","3","1",1980000,"JA"
"115",155,"3","1","3","1",1850000,"JA"
"116",230,"3","3","5","3",3790000,"JA"
"117",144,"3","1","3","1",1450000,"JA"
"118",102,"2","--","2","1",1100000,"JA"
"119",206,"3","1","4","2",2050000,"JA"
"120",220,"3","1","4","3",2700000,"JA"
"121",165,"4","1","3","1",1600000,"JA"
"122",310,"4","2","3","3",3800000,"JA"
"123",290,"4","4","6","4",2600000,"JA"
"124",94,"2","2","2","2",1549000,"JA"
"125",115,"3","1","3","1",1350000,"JA"
"126",161,"3","1","3","1",2130000,"JA"
"127",176,"2","2","4","1",2950000,"JA"
"128",170,"3","1","4","1",1750000,"JA"
"129",220,"2","2","4","2",4400000,"JA"
"130",237,"4","1","4","1",1690000,"JA"
"131",203,"3","3","4","2",3150000,"JA"
"132",106,"3","--","2","1",820000,"JA"
"133",155,"3","2","4","1",2380000,"JA"
"134",200,"3","1","4","3",2700000,"JA"
"135",270,"4","2","5","2",3400000,"JA"
"136",132,"2","1","3","1",1550000,"JA"
"137",123,"3","1","3","1",1252000,"JA"
"138",75,"2","1","3","1",8e+05,"JA"
"139",140,"3","1","3","1",1700000,"JA"
"140",76,"2","--","2","1",790000,"JA"
"141",197,"3","1","3","2",2500000,"JA"
"142",306,"4","2","3","3",3e+06,"JA"
"143",350,"4","4","7","5",1e+07,"JA"
"144",161,"3","3","3","2",3590000,"JA"
"145",88,"2","2","2","1",1450000,"JA"
"146",190,"3","3","5","3",2300000,"JA"
"147",184,"3","1","3","1",2350000,"JA"
"148",232,"4","4","6","4",4600000,"JA"
"149",230,"4","3","5","4",3348000,"JA"
"150",142,"3","1","3","2",1700000,"JA"
"151",94,"2","1","3","1",1290000,"JA"
"152",153,"3","1","4","2",1420000,"JA"
"153",220,"4","1","3","2",2800000,"JA"
"154",70,"2","1","2","1",1348500,"JA"
"155",140,"3","--","4","1",1700000,"JA"
"156",587,"4","1","3","3",3725000,"JA"
"157",140,"3","2","2","1",1750000,"JA"
"158",60,"1","1","1","1",1050000,"JA"
"159",420,"4","2","6","4",1.2e+07,"JA"
"160",120,"3","1","3","2",1399000,"JA"
"161",114,"2","1","2","1",1650000,"JA"
"162",150,"3","1","3","2",1700000,"JA"
"163",135,"3","1","4","1",1500000,"JA"
"164",286,"3","3","5","2",4390000,"JA"
"165",360,"4","2","4","3",8500000,"JA"
"166",164,"3","1","3","2",1450000,"JA"
"167",222,"3","3","1","2",3290000,"JA"
"168",29,"1","--","1","1",430000,"JA"
"169",95,"2","1","2","1",1100000,"JA"
"170",90,"2","2","3","2",1490000,"JA"
"171",172,"3","1","3","1",1380000,"JA"
"172",188,"3","1","3","2",2600000,"JA"
"173",133,"3","1","4","1",1500000,"JA"
"174",105,"2","2","4","1",1050000,"JA"
"175",139,"3","1","3","1",1300000,"JA"
"176",201,"3","1","4","3",2800000,"JA"
"177",240,"3","1","4","2",2800000,"JA"
"178",115,"3","1","1","2",1500000,"JA"
"179",98,"2","--","2","1",960000,"JA"
"180",155,"3","1","3","2",1800000,"JA"
"181",140,"2","1","4","1",1550000,"JA"
"182",280,"3","1","3","3",3200000,"JA"
"183",145,"3","2","4","2",2180000,"JA"
"184",156,"3","3","4","2",2180000,"JA"
"185",155,"3","1","4","1",1850000,"JA"
"186",140,"3","1","2","1",1596000,"JA"
"187",291,"3","3","5","3",4500000,"JA"
"188",205,"3","3","5","2",4500000,"JA"
"189",287,"3","3","5","2",4380000,"JA"
"190",228,"3","1","4","2",3158000,"JA"
"191",160,"3","1","3","2",1580000,"JA"
"192",151,"3","1","4","3",2800000,"JA"
"193",307,"4","1","4","3",2998000,"JA"
"194",100,"3","1","4","1",1240000,"JA"
"195",170,"3","1","1","1",1800000,"JA"
"196",220,"2","2","3","2",4400000,"JA"
